entity_label,entity_text,Unnamed: 0
DATE,the week ending Dec. 18,
DATE,the week before,
DATE,Monday,
DATE,2021,
DATE,50s,
DATE,less than a month ago,
DATE,Nov. 26,
DATE,Monday,
DATE,2021,
DATE,2021,
DATE,nearly three quarters,
DATE,the week ending Dec. 18,
DATE,the week before,
DATE,Monday,
DATE,2021,
DATE,50s,
DATE,less than a month ago,
DATE,Nov. 26,
DATE,Monday,
DATE,2021,
DATE,2021,
DATE,nearly three quarters,
DATE,the week ending Dec. 18,
DATE,the week before,
DATE,Monday,
DATE,2021,
DATE,50s,
DATE,less than a month ago,
DATE,Nov. 26,
DATE,Monday,
DATE,2021,
DATE,2021,
DATE,nearly three quarters,
DATE,the week ending Dec. 18,
DATE,the week before,
DATE,Monday,
DATE,2021,
DATE,50s,
DATE,less than a month ago,
DATE,Nov. 26,
DATE,Monday,
DATE,2021,
DATE,2021,
DATE,Monday,
DATE,22,
DATE,2020,
DATE,July to September,
DATE,22,
DATE,Monday,
DATE,September 2020,
DATE,"Saturday Sept. 14, 2019",
DATE,September 2020,
DATE,earlier this year,
DATE,2021,
DATE,2021,
DATE,Monday,
DATE,22,
DATE,2020,
DATE,July to September,
DATE,22,
DATE,Monday,
DATE,September 2020,
DATE,"Saturday Sept. 14, 2019",
DATE,September 2020,
DATE,earlier this year,
DATE,2021,
DATE,2021,
DATE,Monday,
DATE,22,
DATE,2020,
DATE,July to September,
DATE,22,
DATE,Monday,
DATE,September 2020,
DATE,"Saturday Sept. 14, 2019",
DATE,September 2020,
DATE,earlier this year,
DATE,2021,
DATE,2021,
DATE,last week,
DATE,"September 28, 2021",
DATE,"Friday, Nov. 5, 2021",
DATE,2021,
DATE,2021,
DATE,last week,
DATE,"September 28, 2021",
DATE,"Friday, Nov. 5, 2021",
DATE,2021,
DATE,2021,
DATE,last week,
DATE,"September 28, 2021",
DATE,"Friday, Nov. 5, 2021",
DATE,2021,
DATE,2021,
DATE,Monday,
DATE,Monday,
DATE,Three days earlier,
DATE,Friday,
DATE,Sunday,
DATE,Wednesday,
DATE,Sunday,
DATE,Monday,
DATE,today,
DATE,just a few months ago,
DATE,Christmas,
DATE,Tuesday,
DATE,late Monday,
DATE,season,
DATE,Christmas,
DATE,Christmas,
DATE,Dec. 26,
DATE,this week,
DATE,Dec. 27,
DATE,Tuesday,
DATE,Monday,
DATE,this year,
DATE,the last seven days,
DATE,Christmas,
DATE,Monday,
DATE,Christmas,
DATE,yesterday,
DATE,Sunday,
DATE,Christmas,
DATE,2022,
DATE,110 years,
DATE,2021,
DATE,2026,
DATE,Christmas,
DATE,the Christmas season,
DATE,Wednesday,
DATE,2021,
DATE,2021,
DATE,Monday,
DATE,Monday,
DATE,Three days earlier,
DATE,Friday,
DATE,Sunday,
DATE,Wednesday,
DATE,Sunday,
DATE,Monday,
DATE,today,
DATE,just a few months ago,
DATE,Christmas,
DATE,Tuesday,
DATE,late Monday,
DATE,season,
DATE,Christmas,
DATE,Christmas,
DATE,Dec. 26,
DATE,this week,
DATE,Dec. 27,
DATE,Tuesday,
DATE,Monday,
DATE,this year,
DATE,the last seven days,
DATE,Christmas,
DATE,Monday,
DATE,Christmas,
DATE,yesterday,
DATE,Sunday,
DATE,Christmas,
DATE,2022,
DATE,110 years,
DATE,2021,
DATE,2026,
DATE,Christmas,
DATE,the Christmas season,
DATE,Wednesday,
DATE,2021,
DATE,2021,
DATE,50s,
DATE,Monday,
DATE,the week that ended Dec. 18,
DATE,the prior week,
DATE,Monday,
DATE,"December 15, 2021",
DATE,less than a month ago,
DATE,Nov. 26,
DATE,"Friday, Nov. 5, 2021",
DATE,Monday,
DATE,recent weeks,
DATE,7-day,
DATE,Sunday,
DATE,Oct. 24,
DATE,2021,
DATE,2021,
DATE,50s,
DATE,Monday,
DATE,the week that ended Dec. 18,
DATE,the prior week,
DATE,Monday,
DATE,"December 15, 2021",
DATE,less than a month ago,
DATE,Nov. 26,
DATE,"Friday, Nov. 5, 2021",
DATE,Monday,
DATE,recent weeks,
DATE,7-day,
DATE,Sunday,
DATE,Oct. 24,
DATE,2021,
DATE,2021,
DATE,50s,
DATE,Monday,
DATE,the week that ended Dec. 18,
DATE,the prior week,
DATE,Monday,
DATE,"December 15, 2021",
DATE,less than a month ago,
DATE,Nov. 26,
DATE,"Friday, Nov. 5, 2021",
DATE,Monday,
DATE,recent weeks,
DATE,7-day,
DATE,Sunday,
DATE,Oct. 24,
DATE,2021,
DATE,2021,
DATE,Monday,
DATE,winter,
DATE,the holidays,
DATE,last year,
DATE,Monday,
DATE,next month,
DATE,Monday,
DATE,earlier this month,
DATE,a second consecutive year,
DATE,Tuesday,
DATE,less than a year,
DATE,Christmas,
DATE,the weekend,
DATE,"Monday, Dec. 20, 2021",
DATE,spring 2020,
DATE,this week,
DATE,November,
DATE,Last year’s,
DATE,early next year,
DATE,a week,
DATE,the end of December,
DATE,Sunday,
DATE,Monday,
DATE,about every two days,
DATE,pre-Christmas,
DATE,Monday,
DATE,a week,
DATE,Monday,
DATE,a single day,
DATE,last week,
DATE,Sunday,
DATE,Monday,
DATE,annual,
DATE,the holidays,
DATE,a year ago,
DATE,a week,
DATE,January,
DATE,Christmas,
DATE,2021,
DATE,2021,
DATE,Monday,
DATE,winter,
DATE,the holidays,
DATE,last year,
DATE,Monday,
DATE,next month,
DATE,Monday,
DATE,earlier this month,
DATE,a second consecutive year,
DATE,Tuesday,
DATE,less than a year,
DATE,Christmas,
DATE,the weekend,
DATE,"Monday, Dec. 20, 2021",
DATE,spring 2020,
DATE,this week,
DATE,November,
DATE,Last year’s,
DATE,early next year,
DATE,a week,
DATE,the end of December,
DATE,Sunday,
DATE,Monday,
DATE,about every two days,
DATE,pre-Christmas,
DATE,Monday,
DATE,a week,
