,entity_label,entity_text,Unnamed: 0,count,proportion
22852,ORG,Fraternal Order Of Police,,15,8.021018533638139e-06
18129,ORG,Charlotte Hornets,,15,8.021018533638139e-06
13723,ORG,Pima County Sheriff,,15,8.021018533638139e-06
84539,ORG,House Intelligence Committee,,15,8.021018533638139e-06
11355,ORG,NHL,,15,8.021018533638139e-06
85979,ORG,Dream Center,,15,8.021018533638139e-06
123518,ORG,Heritage Foundation,,15,8.021018533638139e-06
83286,ORG,This White House,,14,7.486283964728929e-06
14037,ORG,Gascon,,14,7.486283964728929e-06
115586,ORG,Milwaukee Health Department,,14,7.486283964728929e-06
11376,ORG,Manchin,,14,7.486283964728929e-06
66553,ORG,Health,,14,7.486283964728929e-06
22850,ORG,University Of Chicago,,13,6.95154939581972e-06
18679,ORG,Loudoun County School Board,,13,6.95154939581972e-06
11789,ORG,Rockettes,,13,6.95154939581972e-06
85758,ORG,Dems,,13,6.95154939581972e-06
11000,ORG,Build Back Better,,13,6.95154939581972e-06
11060,ORG,Pacific Northwest,,13,6.95154939581972e-06
11388,ORG,Chinese Communist Party,,13,6.95154939581972e-06
25021,ORG,California Correctional Peace Officers Association,,12,6.416814826910511e-06
21577,ORG,Lake Region Healthcare,,12,6.416814826910511e-06
12841,ORG,Hsi-Baltimore,,12,6.416814826910511e-06
178823,ORG,R-Ariz.,,12,6.416814826910511e-06
27153,ORG,Spectrum News 1,,12,6.416814826910511e-06
15803,ORG,Ben & Jerry,,12,6.416814826910511e-06
27054,ORG,Dawson,,12,6.416814826910511e-06
26849,ORG,Healthcare,,12,6.416814826910511e-06
178093,ORG,D-Del.,,12,6.416814826910511e-06
26844,ORG,Nola,,12,6.416814826910511e-06
133377,ORG,Democratic National Convention,,12,6.416814826910511e-06
12835,ORG,HSI,,12,6.416814826910511e-06
21578,ORG,Lake Region Medical Group,,12,6.416814826910511e-06
178857,ORG,D-Colo.,,12,6.416814826910511e-06
30266,ORG,Washington Public School Requires Student Athletes,,12,6.416814826910511e-06
26842,ORG,Ochsner Health,,12,6.416814826910511e-06
10648,ORG,University Of California At San Diego,,12,6.416814826910511e-06
21668,ORG,PPS,,12,6.416814826910511e-06
21673,ORG,National School Boards Association,,12,6.416814826910511e-06
133839,ORG,Labor Department,,12,6.416814826910511e-06
121954,ORG,Phmpt,,12,6.416814826910511e-06
22022,ORG,SFD,,12,6.416814826910511e-06
21267,ORG,Colon,,12,6.416814826910511e-06
68587,ORG,Smithsonian,,12,6.416814826910511e-06
21255,ORG,EMS,,12,6.416814826910511e-06
12554,ORG,Rialto Fire Department,,12,6.416814826910511e-06
118892,ORG,Conservative Political Action Conference,,12,6.416814826910511e-06
28310,ORG,Tate,,12,6.416814826910511e-06
29090,ORG,Fields,,12,6.416814826910511e-06
68856,ORG,U.S. Freedom Flyers,,12,6.416814826910511e-06
118634,ORG,National Christmas Tree,,12,6.416814826910511e-06
184756,ORG,D-Ill.,,12,6.416814826910511e-06
133101,ORG,Association Of State And Territorial Health Officials,,12,6.416814826910511e-06
19985,ORG,New York Daily News,,12,6.416814826910511e-06
184237,ORG,R-Ill.,,12,6.416814826910511e-06
19996,ORG,Ecohealth Alliance,,12,6.416814826910511e-06
29769,ORG,Florida School Board,,12,6.416814826910511e-06
12942,ORG,Pollack,,12,6.416814826910511e-06
68590,ORG,National Zoo,,12,6.416814826910511e-06
12858,ORG,Baltimore County Police Department,,12,6.416814826910511e-06
117989,ORG,South Shore University Hospital,,12,6.416814826910511e-06
21246,ORG,Fdny Firefighters Association,,12,6.416814826910511e-06
117516,ORG,Booker,,12,6.416814826910511e-06
133345,ORG,U.N.,,12,6.416814826910511e-06
27384,ORG,Municipal Labor Committee,,12,6.416814826910511e-06
86267,ORG,Times Square Swarmed,,12,6.416814826910511e-06
86436,ORG,Arthur,,12,6.416814826910511e-06
65239,ORG,Syracuse University,,12,6.416814826910511e-06
12314,ORG,Palmer,,12,6.416814826910511e-06
135890,ORG,First Liberty,,12,6.416814826910511e-06
135892,ORG,Uscg,,12,6.416814826910511e-06
120357,ORG,Beam,,12,6.416814826910511e-06
135975,ORG,Eppc,,12,6.416814826910511e-06
135981,ORG,Public Health Council Of The Upper Valley,,12,6.416814826910511e-06
65076,ORG,Washington National Cathedral,,12,6.416814826910511e-06
87591,ORG,House Republicans Demand Answers,,12,6.416814826910511e-06
24189,ORG,Chinatown-International District,,12,6.416814826910511e-06
87593,ORG,Valley Central Hidalgo County,,12,6.416814826910511e-06
24272,ORG,Yale New Haven Hospital,,12,6.416814826910511e-06
25408,ORG,Lightfoot,,12,6.416814826910511e-06
138911,ORG,Stephanie Ruhle,,12,6.416814826910511e-06
87595,ORG,Newport News,,12,6.416814826910511e-06
87661,ORG,Donkey Party,,12,6.416814826910511e-06
